removed all duplicates
removed all patents of less than 15 characters
removed all patents of more than 40 characters
removed any line containing non alpha characters
remove even lines 2 times (reducing data by 4x)

epoch 	train_loss 	valid_loss 	accuracy 	time
0 	5.171369 	4.722786 	0.332812 	01:08
1 	5.072224 	4.605592 	0.326339 	01:07
2 	4.983411 	4.541664 	0.336607 	01:07
3 	4.903488 	4.495431 	0.337277 	01:07
4 	4.826902 	4.457637 	0.339732 	01:07
5 	4.754410 	4.440201 	0.335714 	01:08
6 	4.680949 	4.423729 	0.337946 	01:08
7 	4.608341 	4.443839 	0.334375 	01:18
8 	4.569120 	4.501457 	0.323661 	01:15
9 	4.513218 	4.494428 	0.340402 	01:15
10 	4.444993 	4.457693 	0.333036 	01:15
11 	4.368212 	4.474439 	0.333482 	01:29
12 	4.289245 	4.462594 	0.341518 	01:20
13 	4.200425 	4.497538 	0.335045 	01:19
14 	4.122730 	4.512559 	0.332143 	01:20
